"","Migration recode - State or foreign country code (MIGSP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Educational attainment (SCHL)","Total","Alabama/AL","Alaska/AK","Arizona/AZ","Arkansas/AR","California/CA","Colorado/CO","Connecticut/CT","Delaware/DE","District of Columbia/DC","Florida/FL","Georgia/GA","Hawaii/HI","Idaho/ID","Illinois/IL","Indiana/IN","Iowa/IA","Kansas/KS","Kentucky/KY","Louisiana/LA","Maine/ME","Maryland/MD","Massachusetts/MA","Michigan/MI","Minnesota/MN","Mississippi/MS","Missouri/MO","Montana/MT","Nebraska/NE","Nevada/NV","New Hampshire/NH","New Jersey/NJ","New Mexico/NM","New York/NY","North Carolina/NC","North Dakota/ND","Ohio/OH","Oklahoma/OK","Oregon/OR","Pennsylvania/PA","Rhode Island/RI","South Carolina/SC","South Dakota/SD","Tennessee/TN","Texas/TX","Utah/UT","Vermont/VT","Virginia/VA","Washington/WA","West Virginia/WV","Wisconsin/WI","Wyoming/WY","Puerto Rico","France","Germany","Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified","Italy","Spain","United Kingdom, Excluding England","England","Russia","Ukraine","Afghanistan","China, Hong Kong, Macau & Paracel Islands","India","Israel","Japan","Korea","Nepal","Pakistan","Philippines","Saudi Arabia","Taiwan","Thailand","Turkey","United Arab Emirates","Vietnam","Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified","Canada","Mexico","El Salvador","Guatemala","Honduras","Central America, not specified","Cuba","Dominican Republic","Haiti","Jamaica","Caribbean and North America, not specified","Brazil","Colombia","Ecuador","Peru","Venezuela","South America, not specified","Egypt","Ethiopia","Kenya","Nigeria","Western Africa, not specified","Other Africa, not specified","Eastern Africa, Not Specified","Australia","Other US Island Areas, Oceania, Not Specified, or At Sea"
"No schooling completed","668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133","0","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","139","0","0","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","0"
"12th grade - no diploma","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Regular high school diploma","2211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125","0","103","0","0","0","110","0","0","0","0","495","325","0","108","141","0","0","0","123","0","0","0","0","0","0","0","0","182","0","0","144","0","0","0","0","0","0","0","0","0","0","0","206","0","0","0","62","87","0","0","0","0","0"
"GED or alternative credential","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Some college, but less than 1 year","640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94","0","0","0","0","0","141","0","0","0","0","22","0","0","94","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","208","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 or more years of college credit, no degree","509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","159","0","0","0","0","0","115","0","0","0","131","64","17","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Associate's degree","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bachelor's degree","2079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","613","0","93","0","0","50","0","0","0","0","0","259","0","0","0","876","0","0","0","0","0","0","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Master's degree","1235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126","66","0","0","0","136","156","405","0","0","0","116","0","0","0","0","0","0","94","0","0","0","0","0","136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Professional degree beyond a bachelor's degree","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
