Age (AGEP),Total,Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
Total Bachelor's degree,190339,844,170,734,184,3520,737,533,258,306,4080,3155,177,55,1544,597,149,368,405,471,168,1516,1241,994,497,193,654,148,90,169,179,2628,228,4238,131779,112,1460,318,287,2091,81,4150,136,995,2292,205,135,4188,649,495,326,4,242,125,441,100,160,107,202,150,229,52,90,0,101,674,1804,0,50,614,657,66,0,98,95,76,17,83,26,108,85,87,20,264,197,17,0,65,247,171,0,0,38,149,153,147,162,0,306,62,88,0,21,15,152,220,101,212,60
25 years Total Bachelor's degree,16172,290,0,37,0,146,73,14,74,35,51,460,0,18,22,72,0,5,101,19,0,254,134,107,0,11,47,0,0,0,0,171,0,416,11133,0,42,30,64,291,0,464,1,91,164,5,0,405,40,23,26,0,0,0,36,10,0,15,0,0,7,0,0,0,0,45,158,0,0,83,0,44,0,0,72,0,0,0,0,0,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,75,0,107,0,0,0,0,0,0,66,0,68,0
26 years Total Bachelor's degree,12398,123,0,0,9,278,43,25,0,0,182,106,13,0,77,107,0,0,0,9,0,168,149,34,21,23,203,0,17,0,10,49,60,314,8508,0,111,38,12,73,38,387,0,84,129,97,0,150,10,8,28,0,26,16,51,0,0,6,33,0,21,0,0,0,14,50,268,0,0,0,100,0,0,0,0,58,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0
27 years Total Bachelor's degree,10708,23,0,93,0,201,14,67,0,76,115,125,41,0,92,0,0,0,42,0,0,107,39,0,0,0,43,50,0,0,22,52,0,300,8011,30,73,16,2,95,0,264,1,34,169,10,0,161,85,27,9,0,0,0,0,15,0,0,10,0,0,0,0,0,0,57,58,0,0,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 years Total Bachelor's degree,9559,24,0,33,0,143,0,12,14,48,226,104,0,15,59,22,27,10,9,67,0,36,148,35,12,0,34,18,13,0,16,89,0,118,6537,31,83,55,0,128,0,133,0,46,251,49,0,206,48,130,16,0,0,0,18,0,14,0,0,0,0,0,0,0,0,50,201,0,0,0,28,0,0,0,23,0,0,0,0,0,0,27,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,36,0,0,0,21,0,0,33,0,0,46
29 years Total Bachelor's degree,8860,12,3,14,0,165,57,11,26,0,261,96,0,0,39,36,0,0,0,57,0,40,25,93,0,72,25,0,0,0,0,61,0,311,5871,0,21,23,35,243,0,240,0,29,150,6,0,209,21,16,25,0,15,0,99,0,0,11,0,32,0,0,0,0,0,18,101,0,0,57,80,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,18,0,0,0,0,0,0,0,0,0,0,31,0,0,0,14
30 years Total Bachelor's degree,8615,86,20,39,0,99,0,14,0,17,107,310,0,0,63,20,0,0,51,50,34,23,19,0,0,0,0,0,0,0,24,99,11,282,6059,0,25,0,18,75,0,108,0,32,128,0,0,193,31,0,0,0,48,72,77,0,0,0,0,0,0,0,0,0,0,27,35,0,16,108,29,0,0,0,0,0,0,0,0,31,0,16,0,0,47,0,0,0,22,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
31 years Total Bachelor's degree,7435,21,0,31,0,148,68,38,0,0,184,0,24,0,97,0,0,14,0,31,0,7,100,111,67,29,11,0,0,0,0,80,21,113,5181,0,11,31,8,34,0,86,0,7,57,0,0,314,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,6,0,112,0,20,63,84,0,0,0,0,0,0,0,26,0,0,0,0,25,0,0,0,0,0,0,0,0,0,13,20,38,0,0,0,0,0,0,0,0,0,0,0,22,0
32 years Total Bachelor's degree,7403,13,0,0,7,73,15,24,0,0,170,61,0,0,84,0,37,0,0,0,0,161,12,87,90,0,0,0,10,0,25,68,15,40,5169,18,138,0,0,29,0,206,0,8,188,0,0,192,40,25,0,0,0,0,0,0,0,0,24,0,48,0,0,0,0,0,139,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,65,0,0,83,0
33 years Total Bachelor's degree,5355,4,0,0,0,289,0,0,0,40,117,120,0,0,23,0,0,0,0,25,0,29,17,25,0,0,18,0,0,6,0,60,21,120,3610,0,0,9,0,18,0,219,0,51,78,0,0,108,11,0,30,0,20,0,0,0,0,0,0,0,0,0,29,0,0,0,61,0,0,41,17,0,0,0,0,18,0,0,0,0,0,33,0,9,0,0,0,0,0,39,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 years Total Bachelor's degree,6950,0,0,46,0,175,55,0,0,37,132,133,0,0,225,47,0,0,25,31,0,73,62,42,0,0,0,28,0,0,0,92,43,180,4552,0,0,8,32,81,0,173,0,74,22,0,0,83,25,15,8,0,0,0,13,0,44,34,0,0,0,0,0,0,0,38,77,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,56,20,0,0,0,0,21,0,0,0,0,0,0,56,0,0
35 years Total Bachelor's degree,6434,24,7,0,0,330,29,31,0,0,39,128,21,0,55,0,0,119,0,30,22,21,43,0,18,0,70,0,0,0,0,191,23,149,4146,0,15,0,0,43,0,181,0,0,17,0,14,97,0,0,10,0,0,0,0,0,0,15,82,0,22,0,0,0,51,0,146,0,0,31,36,0,0,0,0,0,0,0,0,0,0,0,0,16,29,0,0,0,0,0,0,0,0,0,22,0,0,0,53,0,0,0,0,0,0,13,45,0,0
36 years Total Bachelor's degree,4125,21,31,0,0,30,6,10,0,13,20,78,0,0,10,0,0,6,0,0,0,49,40,37,11,0,0,0,0,48,0,63,0,34,3199,0,46,13,0,0,0,51,0,15,58,0,0,60,55,0,0,0,0,0,13,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
37 years Total Bachelor's degree,4176,0,3,0,0,70,0,22,20,0,137,55,0,0,45,0,20,0,20,0,0,0,0,60,32,0,0,0,12,0,0,28,0,15,3200,0,0,0,0,29,0,166,0,0,37,0,0,123,20,0,0,0,0,0,11,0,0,0,0,0,22,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38 years Total Bachelor's degree,4196,0,0,76,0,79,0,25,0,16,65,7,0,0,38,0,0,28,0,0,7,15,39,0,30,0,0,0,0,0,0,48,0,79,3216,0,17,0,0,24,0,52,0,0,52,0,0,79,4,0,0,0,0,0,26,31,0,0,0,0,0,0,0,0,0,0,25,0,0,20,0,22,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,15,0,16,0,0,0
39 years Total Bachelor's degree,3696,0,0,4,0,213,29,0,0,0,72,157,50,0,23,25,0,0,6,0,0,0,15,12,11,0,0,0,15,16,0,98,0,7,2470,0,66,0,12,12,0,68,0,8,14,0,0,62,25,0,6,4,0,37,0,19,0,0,0,0,0,0,0,0,0,0,33,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,27,0,0,0
40 years Total Bachelor's degree,4564,21,0,0,0,77,15,0,0,0,73,61,11,0,46,0,0,10,21,0,0,4,13,68,11,0,40,38,0,24,0,44,34,21,3164,0,80,0,0,81,0,83,0,41,9,17,0,39,58,0,0,0,0,0,0,5,0,0,0,0,0,23,0,0,0,0,57,0,0,20,41,0,0,0,0,0,0,54,0,0,0,0,0,0,77,0,0,0,45,0,0,0,0,0,9,0,0,0,29,0,0,0,0,0,0,0,0,0,0
