Age (AGEP),Total,N/A (person less than 1 year old/lived in same house 1 year ago),Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
37 years,26747,22085,129,14,0,0,55,0,0,0,32,93,3935,0,26,21,0,0,0,40,0,0,0,62,0,0,0,0,0,0,0,0,0,0,49,47,0,0,0,0,20,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38 years,25840,22120,21,9,0,0,81,16,0,69,0,27,3087,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,86,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39 years,26663,22728,16,0,0,0,33,34,0,0,0,21,3559,0,0,0,0,0,0,9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,69,0,0,0,0,0,28,0,0,0,41,0,0,0,29,0,0,0,0,0,0,8,0,0,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40 years,27531,23415,0,0,0,0,11,22,0,0,17,121,3402,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,42,0,48,23,0,5,34,0,11,0,128,0,43,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 years,24643,21519,14,0,14,0,7,0,0,0,0,4,2605,0,0,0,0,0,19,0,75,0,0,0,23,28,0,0,0,0,0,0,45,0,7,0,0,95,0,0,0,0,16,0,30,9,0,0,51,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,15,0,0,0,0,12,26,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42 years,26257,22920,0,0,0,0,40,0,0,0,0,133,2620,0,0,0,0,0,61,0,0,0,0,45,0,0,0,65,0,0,0,0,0,0,0,12,0,0,0,0,0,0,57,0,0,16,17,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,89,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43 years,27899,25191,60,0,0,0,30,0,0,0,0,78,2166,0,0,20,0,0,0,0,78,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,15,0,48,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 years,27492,24079,16,0,27,0,56,0,0,0,0,131,2794,0,0,0,0,17,0,0,10,0,32,6,17,36,0,0,0,0,0,0,0,0,144,0,0,9,0,0,0,0,0,0,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
45 years,29730,25077,44,0,0,0,239,0,92,0,0,35,3287,0,0,45,0,4,0,0,31,0,34,0,140,0,0,0,0,0,0,0,0,0,136,65,0,0,0,0,33,0,29,0,147,115,0,5,0,0,39,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,30,0,0,0,0
46 years,28113,24950,8,0,53,0,127,19,16,0,0,103,2256,0,96,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,119,43,0,32,0,0,0,0,0,0,26,32,0,0,147,0,0,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
