Origin,Total
Illinois,1181
Illinois,644
Illinois,6765
Illinois,1572
Illinois,15273
Illinois,6214
Illinois,548
Illinois,282
Illinois,849
Illinois,16393
Illinois,6184
Illinois,1038
Illinois,220
Illinois,12637
Illinois,4611
Illinois,1414
Illinois,2216
Illinois,932
Illinois,274
Illinois,1481
Illinois,2140
Illinois,6662
Illinois,4272
Illinois,1294
Illinois,9133
Illinois,754
Illinois,686
Illinois,2001
Illinois,484
Illinois,1177
Illinois,452
Illinois,3821
Illinois,4244
Illinois,324
Illinois,4101
Illinois,1414
Illinois,1615
Illinois,2336
Illinois,153
Illinois,2030
Illinois,366
Illinois,5516
Illinois,13486
Illinois,1185
Illinois,34
Illinois,3091
Illinois,3453
Illinois,281
Illinois,11813
Illinois,69
Indiana,1045
Indiana,18
Indiana,2626
Indiana,587
Indiana,3777
Indiana,1559
Indiana,195
Indiana,27
Indiana,237
Indiana,8848
Indiana,1783
Indiana,231
Indiana,172
Indiana,7269
Indiana,292
Indiana,773
Indiana,5596
Indiana,311
Indiana,18
Indiana,700
Indiana,773
Indiana,5163
Indiana,1026
Indiana,555
Indiana,1428
Indiana,271
Indiana,163
Indiana,491
Indiana,393
Indiana,581
Indiana,256
Indiana,861
Indiana,2537
Indiana,77
Indiana,6121
Indiana,710
Indiana,610
Indiana,1201
Indiana,98
Indiana,1484
Indiana,234
Indiana,3341
Indiana,4832
Indiana,533
Indiana,0
Indiana,1631
Indiana,1209
Indiana,258
Indiana,893
Indiana,63
Iowa,272
Iowa,314
Iowa,1800
Iowa,228
Iowa,1728
Iowa,1637
Iowa,111
Iowa,14
Iowa,51
Iowa,2368
Iowa,575
Iowa,309
Iowa,110
Iowa,3951
Iowa,602
Iowa,1201
Iowa,377
Iowa,196
Iowa,163
Iowa,230
Iowa,182
Iowa,290
Iowa,2490
Iowa,113
Iowa,2793
Iowa,129
Iowa,2718
Iowa,407
Iowa,5
Iowa,12
Iowa,164
Iowa,496
Iowa,790
Iowa,339
Iowa,714
Iowa,370
Iowa,358
Iowa,237
Iowa,76
Iowa,374
Iowa,1319
Iowa,602
Iowa,2830
Iowa,320
Iowa,0
Iowa,534
Iowa,445
Iowa,48
Iowa,2141
Iowa,105
Kansas,284
Kansas,593
Kansas,2032
Kansas,991
Kansas,1924
Kansas,2741
Kansas,83
Kansas,143
Kansas,0
Kansas,1969
Kansas,1928
Kansas,340
Kansas,293
Kansas,1098
Kansas,963
Kansas,952
Kansas,740
Kansas,301
Kansas,19
Kansas,195
Kansas,288
Kansas,846
Kansas,285
Kansas,232
Kansas,12028
Kansas,139
Kansas,2069
Kansas,414
Kansas,16
Kansas,380
Kansas,147
Kansas,509
Kansas,914
Kansas,70
Kansas,797
Kansas,2628
Kansas,653
Kansas,421
Kansas,8
Kansas,497
Kansas,344
Kansas,814
Kansas,5221
Kansas,194
Kansas,9
Kansas,881
Kansas,1050
Kansas,101
Kansas,215
Kansas,124
Kentucky,934
Kentucky,221
Kentucky,959
Kentucky,470
Kentucky,2043
Kentucky,1108
Kentucky,125
Kentucky,26
Kentucky,74
Kentucky,6183
Kentucky,1979
Kentucky,170
Kentucky,119
Kentucky,1404
Kentucky,5261
Kentucky,305
Kentucky,352
Kentucky,367
Kentucky,226
Kentucky,308
Kentucky,296
Kentucky,1194
Kentucky,351
Kentucky,462
Kentucky,885
Kentucky,63
Kentucky,167
Kentucky,196
Kentucky,107
