Age (AGEP),Total,Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
"49 years Total Some college, but less than 1 year",2266,0,0,35,35,57,15,0,0,0,44,0,0,0,0,0,0,18,0,93,0,29,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,7,0,0,0,0,0,1879,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50 years Total Some college, but less than 1 year",2369,0,0,52,0,0,19,0,0,0,0,0,29,0,0,0,0,0,0,39,0,0,0,0,12,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,88,0,0
"51 years Total Some college, but less than 1 year",2386,0,0,0,0,19,0,0,0,0,15,34,0,0,0,0,0,0,0,40,0,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,0,0,0,25,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"52 years Total Some college, but less than 1 year",2182,0,0,0,0,17,0,0,0,0,9,0,0,0,0,0,0,0,0,38,0,0,0,21,0,0,0,0,0,0,0,0,0,43,0,0,7,54,0,9,0,0,0,15,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53 years Total Some college, but less than 1 year",2289,0,0,0,0,29,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,44,0,24,2132,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"54 years Total Some college, but less than 1 year",2558,0,0,0,0,13,40,0,0,0,118,96,0,0,13,0,0,0,0,0,0,0,0,0,0,44,0,2,0,0,0,0,0,0,30,0,23,6,0,0,0,0,0,0,2108,0,0,0,0,0,12,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55 years Total Some college, but less than 1 year",2418,0,0,0,0,14,0,0,0,0,22,0,0,0,9,0,0,0,0,0,22,0,0,0,0,21,0,0,0,6,9,0,44,0,0,0,0,44,0,13,0,0,0,42,2071,0,0,9,34,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,20,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56 years Total Some college, but less than 1 year",2004,4,0,0,0,50,2,0,13,0,0,0,0,0,27,0,0,0,0,42,0,0,0,36,7,21,67,0,0,27,0,0,31,36,0,0,0,0,0,0,0,0,0,0,1536,0,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
"57 years Total Some college, but less than 1 year",2182,0,0,27,1,0,0,0,0,0,34,26,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,41,0,4,0,21,0,0,0,0,0,0,0,13,0,13,1919,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"58 years Total Some college, but less than 1 year",2167,0,0,0,85,60,9,0,0,0,0,20,0,0,16,0,0,0,0,23,0,0,0,0,0,24,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0
