RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
61,36,West Virginia,State,WV,94867.0,95101.0,95315.0,95585.0,95802.0,96028.0,96238.0,96423.0,96635.0,96811.0,97010.0,97187.0,97492.0,97739.0,98004.0,98172.0,98373.0,98527.0,98680.0,98808.0,98867.0,98912.0,98925.0,99015.0,99059.0,99166.0,99283.0,99506.0,99765.0,100083.0,100431.0,100837.0,101256.0,101741.0,102248.0,102666.0,103027.0,103363.0,103675.0,103910.0,104038.0,104161.0,104255.0,104350.0,104512.0,104638.0,104859.0,105137.0,105500.0,105899.0,106270.0,106643.0,106970.0,107325.0,107708.0,108140.0,108500.0,108807.0,108661.0,108611.0,108576.0,108788.0,108916.0,109094.0,109394.0,109714.0,110066.0,110417.0,110840.0,111366.0,112253.0,113124.0
38,37,Nebraska,State,NE,135499.0,136272.0,136987.0,137639.0,138296.0,138927.0,139527.0,140145.0,140713.0,141317.0,141965.0,142439.0,142952.0,143174.0,143401.0,143569.0,144033.0,144707.0,145542.0,146399.0,147298.0,148157.0,148896.0,149656.0,150420.0,151424.0,152607.0,153815.0,154735.0,155473.0,156185.0,156914.0,157723.0,158635.0,159651.0,160666.0,161542.0,162393.0,163054.0,163874.0,164849.0,165900.0,166726.0,167450.0,168121.0,168743.0,169403.0,170195.0,171033.0,171696.0,172346.0,173096.0,174034.0,174947.0,175885.0,176702.0,177402.0,177889.0,178210.0,178565.0,179145.0,179912.0,180706.0,181394.0,181984.0,182666.0,183521.0,184600.0,185862.0,187388.0,189102.0,190827.0
20,38,Idaho,State,ID,181929.0,182944.0,183737.0,184900.0,185871.0,187028.0,187985.0,189279.0,190329.0,191416.0,192417.0,193746.0,195631.0,197183.0,198722.0,199514.0,200813.0,201968.0,203406.0,204736.0,206396.0,208147.0,209760.0,211231.0,212064.0,213299.0,214513.0,216660.0,218429.0,220313.0,222103.0,224057.0,226152.0,228048.0,230188.0,232256.0,234590.0,236945.0,239402.0,241998.0,245157.0,248750.0,252390.0,255221.0,257621.0,259960.0,262577.0,264981.0,267476.0,269509.0,271985.0,273972.0,276298.0,278224.0,280581.0,283146.0,285772.0,287984.0,289373.0,290777.0,292332.0,294818.0,297330.0,300264.0,303073.0,306397.0,309824.0,313993.0,318826.0,324640.0,331536.0,339238.0
18,39,Hawaii,State,HI,543855.0,545345.0,547801.0,549833.0,552715.0,554260.0,556154.0,556230.0,556808.0,558280.0,560203.0,561560.0,563232.0,565689.0,568087.0,570111.0,571761.0,574427.0,577284.0,581686.0,586108.0,589704.0,592082.0,594793.0,597270.0,599367.0,601491.0,604333.0,608806.0,612451.0,615421.0,616172.0,618156.0,620808.0,624643.0,627702.0,630255.0,632818.0,635143.0,637006.0,637598.0,638415.0,639978.0,642734.0,644241.0,644854.0,644773.0,645013.0,645572.0,646368.0,647392.0,646941.0,646306.0,646077.0,647548.0,648960.0,649441.0,649539.0,648680.0,648172.0,647769.0,647881.0,648087.0,649637.0,651868.0,654125.0,655207.0,656500.0,659221.0,662968.0,668040.0,673344.0
28,40,Maine,State,ME,189712.0,190368.0,191459.0,192140.0,192605.0,192913.0,193775.0,194674.0,195199.0,195626.0,196058.0,197300.0,198526.0,199394.0,199828.0,200678.0,201399.0,202089.0,202313.0,203054.0,204288.0,205651.0,207155.0,208144.0,209178.0,210008.0,210898.0,212085.0,213448.0,214938.0,216436.0,217497.0,218344.0,219076.0,219828.0,220608.0,221893.0,223555.0,225293.0,226131.0,227034.0,228118.0,229513.0,230699.0,231541.0,232118.0,232650.0,233362.0,233485.0,233658.0,233670.0,234514.0,235689.0,237391.0,238932.0,240024.0,241032.0,242111.0,243446.0,244619.0,246287.0,247929.0,249908.0,251805.0,253583.0,255054.0,256747.0,259236.0,262252.0,265632.0,269092.0,272886.0
39,41,New Hampshire,State,NH,230066.0,230769.0,231862.0,232877.0,234270.0,235326.0,236393.0,237002.0,237568.0,237847.0,238304.0,239310.0,240117.0,240542.0,240710.0,241264.0,242292.0,243355.0,244227.0,245210.0,246448.0,247908.0,249070.0,249924.0,251023.0,253075.0,255020.0,256661.0,257387.0,258445.0,259845.0,261417.0,262897.0,264371.0,266281.0,268065.0,269652.0,270454.0,271561.0,272818.0,274420.0,276008.0,277302.0,278847.0,279983.0,280985.0,281363.0,282050.0,282818.0,283510.0,283804.0,284306.0,285957.0,287925.0,289648.0,290188.0,290669.0,291213.0,292167.0,293094.0,294240.0,295926.0,298047.0,300234.0,301822.0,303409.0,305596.0,308896.0,312838.0,317191.0,321873.0,326908.0
50,42,Rhode Island,State,RI,242325.0,242658.0,242770.0,242573.0,242551.0,243255.0,244642.0,245976.0,246329.0,246822.0,247488.0,248786.0,250421.0,252736.0,254147.0,255146.0,255638.0,256281.0,257071.0,258142.0,260447.0,262175.0,263426.0,263932.0,264404.0,265116.0,266185.0,268474.0,271029.0,273641.0,275463.0,276702.0,277482.0,278906.0,281188.0,283683.0,285909.0,287576.0,289236.0,290146.0,291062.0,291961.0,293187.0,294649.0,295653.0,296143.0,295970.0,295997.0,296160.0,296388.0,296977.0,297569.0,298418.0,299489.0,301185.0,301939.0,302276.0,302531.0,303778.0,304836.0,305908.0,307243.0,308718.0,310558.0,312449.0,314485.0,316375.0,319350.0,323311.0,327867.0,332235.0,337100.0
35,43,Montana,State,MT,232593.0,233640.0,234445.0,235421.0,236344.0,237511.0,238202.0,238839.0,239133.0,239887.0,240553.0,241385.0,241943.0,242340.0,242796.0,243298.0,243904.0,244183.0,244815.0,245802.0,247011.0,248016.0,248795.0,249785.0,250958.0,252135.0,253347.0,254448.0,255455.0,256491.0,257516.0,258482.0,259630.0,260888.0,262394.0,263588.0,264386.0,265321.0,266462.0,268107.0,270011.0,272007.0,273831.0,274872.0,275912.0,276782.0,277982.0,278870.0,280086.0,281480.0,282871.0,284185.0,285140.0,286577.0,287741.0,289654.0,291015.0,292139.0,292877.0,293676.0,294954.0,295995.0,297285.0,298587.0,300286.0,301821.0,303909.0,306074.0,308898.0,312276.0,316051.0,320351.0
13,44,Delaware,State,DE,225285.0,225941.0,226623.0,227717.0,228226.0,228932.0,229387.0,230207.0,230767.0,231111.0,231439.0,231807.0,232217.0,232875.0,233616.0,234607.0,235547.0,236711.0,237986.0,238927.0,239597.0,240320.0,241131.0,242191.0,243105.0,243513.0,243325.0,242601.0,242283.0,242332.0,242599.0,243319.0,244263.0,245399.0,246140.0,246419.0,246598.0,247689.0,249547.0,251524.0,252907.0,253647.0,254342.0,254869.0,255335.0,255850.0,256807.0,257963.0,259354.0,259988.0,260562.0,260566.0,260143.0,259676.0,259381.0,259521.0,259565.0,259296.0,259045.0,259297.0,259824.0,260606.0,261089.0,262200.0,264001.0,266232.0,268487.0,270617.0,273046.0,275927.0,278962.0,281923.0
52,45,South Dakota,State,SD,167905.0,168621.0,169315.0,169943.0,170450.0,171152.0,171857.0,172670.0,173166.0,173693.0,174166.0,174936.0,175698.0,176424.0,177298.0,178242.0,179176.0,179845.0,180485.0,181203.0,182159.0,183128.0,184158.0,185153.0,186137.0,187127.0,187946.0,188760.0,189592.0,190565.0,191508.0,192354.0,193098.0,193728.0,194392.0,194917.0,195485.0,196036.0,196782.0,197551.0,198658.0,199734.0,200881.0,201824.0,202812.0,203827.0,204707.0,205522.0,206267.0,206885.0,207473.0,208027.0,208890.0,209716.0,210491.0,211077.0,211618.0,212089.0,212383.0,212871.0,213518.0,214429.0,215249.0,216123.0,216633.0,217225.0,217889.0,218887.0,219975.0,221193.0,222670.0,224126.0
3,46,Alaska,State,AK,279567.0,280156.0,280561.0,281832.0,283829.0,285680.0,286361.0,286333.0,286041.0,286047.0,286626.0,287536.0,288753.0,289909.0,290519.0,290268.0,289520.0,288784.0,288656.0,288594.0,288968.0,289259.0,289677.0,289783.0,289834.0,289589.0,289406.0,289291.0,289499.0,289970.0,290372.0,290685.0,291453.0,292612.0,293353.0,293434.0,292733.0,292119.0,291548.0,291017.0,291321.0,291754.0,292625.0,292684.0,292856.0,293943.0,295360.0,296296.0,296290.0,298594.0,301414.0,305839.0,306749.0,307662.0,307326.0,308503.0,308644.0,304936.0,301383.0,298323.0,298464.0,296221.0,293735.0,290309.0,289323.0,288561.0,288802.0,288676.0,289437.0,292762.0,296278.0,300283.0
37,47,North Dakota,State,ND,212792.0,213923.0,215314.0,216916.0,218717.0,220198.0,221240.0,221725.0,222021.0,222097.0,222707.0,223334.0,224266.0,224858.0,225470.0,225803.0,225668.0,225509.0,225557.0,225820.0,226161.0,226437.0,226795.0,227169.0,227185.0,227232.0,226948.0,226741.0,226882.0,227358.0,227962.0,228099.0,228275.0,228380.0,228686.0,228685.0,228834.0,228620.0,228920.0,228934.0,229109.0,228727.0,228550.0,228606.0,228633.0,228485.0,228230.0,228272.0,228638.0,229065.0,229202.0,229362.0,229589.0,230156.0,230775.0,231542.0,232303.0,232795.0,232827.0,232783.0,232800.0,233062.0,233357.0,233808.0,234145.0,234499.0,234758.0,234945.0,235215.0,235865.0,236960.0,238112.0
