Age (AGEP),Total,N/A (person less than 1 year old/lived in same house 1 year ago),Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
63 years Regular high school diploma,64276,58143,51,0,29,12,10,0,54,0,0,3890,37,0,8,75,171,0,0,14,0,17,7,165,101,0,0,50,0,0,0,60,102,0,208,46,0,96,0,0,117,0,100,21,102,20,0,0,34,0,0,18,0,110,0,21,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,34,102,0,0,0,0,0,12,0,0,95,23,0,0,0,41,7,45,0,0,0,0,0,0,0,0,0
64 years Regular high school diploma,62657,56529,8,0,20,0,0,12,102,0,0,4152,73,0,0,76,0,17,0,0,0,28,5,93,150,26,0,13,0,0,35,0,85,0,218,51,6,156,0,0,98,0,0,0,35,10,0,11,51,0,10,8,0,43,0,16,0,38,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,9,0,91,0,0,19,0,0,48,0,68,0,0,0,165,0,0,0,14,0,0,0,0,0,0,0,10,0
65 years Regular high school diploma,63578,57026,18,0,0,0,74,17,41,0,31,4117,139,0,0,94,19,74,0,81,0,20,91,55,108,24,0,18,0,0,0,0,62,0,443,26,0,116,11,0,227,0,17,0,5,23,0,10,144,15,14,22,0,84,0,2,0,0,9,0,0,0,20,0,0,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,38,16,0,0,49,0,0,0,0,0,0,0,0,0,0
66 years Regular high school diploma,58491,52491,36,0,24,35,49,69,129,0,0,3667,79,0,0,30,28,27,0,60,0,0,0,17,116,23,0,14,0,0,97,101,36,0,344,22,19,240,0,0,91,0,0,0,11,26,0,0,60,0,61,0,0,68,0,10,17,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,219,9,0,0,0,18,11,48,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
67 years Regular high school diploma,56469,51090,49,14,0,0,33,35,19,0,0,3288,47,0,0,67,94,34,0,9,0,0,28,105,157,16,8,0,0,0,0,16,107,51,122,104,0,75,0,0,118,77,43,0,44,11,0,0,172,0,73,0,0,27,19,0,0,22,17,23,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,41,0,0,0,11,0,30,0,11,20,0,0,0,0,0,0,0,0,0,0
68 years Regular high school diploma,59616,54233,31,0,21,0,0,34,26,77,0,3118,114,0,0,139,48,57,0,14,0,0,33,60,91,0,0,0,0,0,51,0,204,6,148,77,0,60,0,0,137,0,31,0,32,59,26,27,21,0,77,8,0,37,0,0,0,0,0,0,0,22,51,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,11,0,0,0,80,0,0,0,0,17,62,0,8,0,17,0,94,0,0,13,0,0,0,0,0,0,0,0,0,0
69 years Regular high school diploma,58852,53220,36,0,0,0,29,18,17,0,0,3395,140,0,13,33,49,0,18,165,0,0,127,11,62,15,0,65,0,0,0,88,94,0,125,61,0,140,15,0,181,0,11,0,30,0,0,16,37,0,0,36,36,84,0,27,0,0,53,0,0,20,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,90,34,9,13,15,0,0,0,0,21,49,0,0,0,0,18,0,0,0,0
70 years Regular high school diploma,59038,53754,104,0,0,0,58,0,27,0,0,3017,96,28,0,152,68,50,68,0,37,40,14,75,77,20,0,90,0,0,0,56,12,0,290,18,0,76,0,0,134,0,22,0,55,49,0,39,43,29,27,17,0,19,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,86,0,0,0,0,48,117,0,0,0,14,0,0,0,0,10,34,0,0,0,11,0,0,0,0,0
71 years Regular high school diploma,52964,48200,0,30,0,0,50,0,257,0,0,2628,93,0,0,43,48,0,0,41,0,11,133,22,48,56,10,0,0,0,0,0,95,0,100,172,0,90,0,34,174,0,136,0,80,19,0,0,39,0,34,0,0,55,0,0,0,38,0,0,0,21,11,6,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,94,0,0,0,0,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72 years Regular high school diploma,52889,47960,0,0,35,0,37,30,136,16,0,3072,32,0,0,57,117,17,0,34,0,18,21,30,79,0,10,0,0,0,81,49,73,31,140,26,0,51,0,0,46,0,10,0,46,57,0,16,24,0,0,42,0,46,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,29,79,36,0,32,0,0,0,19,20,0,0,0,0,0,0,0,0,0
73 years Regular high school diploma,52878,48572,0,0,11,0,74,0,0,0,0,2694,73,0,0,233,0,0,0,0,0,0,17,38,68,0,0,0,0,0,17,12,120,0,161,36,0,89,0,0,21,0,10,0,22,20,0,17,19,58,0,14,0,58,36,11,0,22,0,0,14,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,72,11,0,92,0,0,0,0,4,0,0,0,0,0,11,0,0
74 years Regular high school diploma,46531,42964,0,0,29,8,66,0,38,0,0,2177,10,0,0,31,33,0,0,8,0,50,26,11,54,17,0,38,0,0,57,20,60,0,101,49,0,44,0,0,180,0,0,0,0,40,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,27,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,46,0,114,0,0,0,0,0,0,64,21,0,0,0,0,0,0,0,0,0
75 years Regular high school diploma,50686,46836,8,0,0,15,11,0,9,18,0,2336,154,0,0,36,79,0,0,0,0,0,20,34,70,28,0,37,0,0,26,11,96,0,41,148,0,50,0,0,51,0,0,0,169,0,0,52,11,0,14,19,0,46,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Total GED or alternative credential,566008,471987,388,97,225,73,495,188,383,82,0,76015,1266,22,23,423,492,152,51,412,60,235,398,545,429,33,73,296,33,72,179,39,628,78,1583,770,66,526,106,14,853,95,341,40,881,517,0,82,450,207,214,159,0,405,0,85,0,15,29,31,23,55,78,33,0,0,0,98,0,16,13,0,0,0,70,0,0,27,0,0,181,23,37,0,370,21,0,0,119,68,463,9,157,22,154,137,201,100,0,24,125,13,0,0,0,20,10,0,0,0
25 years Total GED or alternative credential,11961,8779,12,0,0,0,0,0,0,0,0,2799,0,0,0,0,33,0,0,0,0,0,16,0,87,0,0,0,0,0,0,0,47,0,0,45,0,0,0,0,99,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26 years Total GED or alternative credential,11817,8925,8,0,0,0,0,0,26,0,0,2661,25,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,44,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 years Total GED or alternative credential,12814,10312,0,0,0,0,0,0,0,0,0,2102,53,0,0,62,0,0,0,0,0,0,0,0,60,0,0,59,0,0,37,0,0,0,0,0,0,0,0,0,11,0,32,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 years Total GED or alternative credential,12276,8807,30,0,0,0,10,0,0,29,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,49,0,0,19,0,0,20,0,0,0,0,35,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29 years Total GED or alternative credential,12048,8849,104,0,0,34,0,0,0,0,0,2580,36,0,0,0,0,0,0,0,0,0,18,0,0,0,17,0,0,0,0,0,91,23,66,22,0,0,0,0,0,0,35,0,0,27,0,0,0,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 years Total GED or alternative credential,12638,9039,0,0,0,0,0,0,0,0,0,3096,28,0,0,0,0,0,0,0,0,26,0,48,33,0,0,0,0,0,0,0,23,0,116,10,0,0,0,0,0,0,0,0,0,33,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,71,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
31 years Total GED or alternative credential,12260,9304,9,0,38,0,0,0,7,0,0,2560,116,0,0,0,0,0,0,50,0,0,0,23,24,10,0,0,0,0,0,0,0,0,0,0,27,17,0,0,17,0,0,0,20,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
